tablename,index_count,total_bytes,index_bytes,estimated_rows
qms_audits,48,786432,770048,0
quality_cars,32,540672,524288,0
training_records,28,1777664,1384448,0
task_cards,25,212992,204800,0
qms_audit_findings,21,180224,172032,0
work_orders,19,163840,155648,0
training_files,18,311296,294912,0
training_requirements,18,303104,294912,0
users,15,311296,245760,0
fracas_cases,15,131072,122880,0
part_movement_ledger,15,131072,122880,0
training_events,15,131072,122880,0
crs,14,122880,114688,0
aircraft,13,114688,106496,0
aircraft_program_items,13,114688,106496,0
amp_program_items,13,114688,106496,0
qms_documents,13,114688,106496,0
quality_audit_checklist_items,12,106496,98304,0
quality_reminder_milestones,12,106496,98304,0
reliability_alerts,12,106496,98304,0
reliability_events,12,106496,98304,0
roster_assignments,12,106496,98304,0
training_event_participants,12,106496,98304,0
ehm_raw_logs,11,196608,180224,0
training_courses,11,237568,180224,0
aircraft_components,11,98304,90112,0
integration_inbound_events,11,98304,90112,0
integration_outbound_events,11,98304,90112,0
removal_events,11,90112,90112,0
task_assignments,11,90112,90112,0
training_deferral_requests,11,98304,90112,0
qms_notifications,10,180224,163840,0
training_audit_logs,10,180224,163840,0
qms_audit_schedules,10,122880,106496,0
aircraft_usage,10,90112,81920,0
maintenance_program_items_legacy,10,90112,81920,0
qms_document_distributions,10,81920,81920,0
quality_audit_document_requests,10,90112,81920,0
quality_audit_report_trackers,10,81920,81920,0
reliability_kpis,10,81920,81920,0
roster_validation_findings,10,90112,81920,0
personnel_profiles,9,221184,147456,0
component_instances,9,81920,73728,0
roster_periods,9,81920,73728,0
shift_templates,9,81920,73728,0
training_notifications,8,147456,131072,0
aircraft_documents,8,73728,65536,0
ehm_parsed_records,8,73728,65536,0
engine_trend_statuses,8,65536,65536,0
maintenance_statuses_legacy,8,65536,65536,0
qms_corrective_actions_legacy,8,73728,65536,0
quality_archive_packages,8,73728,65536,0
quality_car_extension_requests,8,73728,65536,0
user_groups,8,73728,65536,0
amos,7,131072,114688,0
billing_invoices,7,131072,114688,0
platform_command_jobs,7,131072,114688,0
aircraft_import_templates,7,65536,57344,0
base_stations,7,65536,57344,0
email_logs,7,65536,57344,0
engine_flight_snapshots,7,65536,57344,0
engine_utilization_daily,7,57344,57344,0
fracas_actions,7,65536,57344,0
integration_configs,7,65536,57344,0
qms_activity_logs,7,65536,57344,0
qms_document_revisions,7,65536,57344,0
reliability_notifications,7,65536,57344,0
roster_task_assignment_links,7,57344,57344,0
roster_versions,7,65536,57344,0
work_log_entries,7,65536,57344,0
audit_events,6,163840,98304,0
ledger_entries,6,114688,98304,0
tenant_licenses,6,114688,98304,0
aircraft_utilization_daily,6,49152,49152,0
manual_reader_progress,6,57344,49152,0
oil_consumption_rates,6,49152,49152,0
qms_file_access_logs,6,57344,49152,0
qms_manual_change_requests,6,57344,49152,0
quality_tenant_workflow_settings,6,57344,49152,0
reliability_alert_rules,6,49152,49152,0
roster_publication_acknowledgements,6,57344,49152,0
user_group_members,6,49152,49152,0
catalog_skus,5,98304,81920,0
quality_car_actions,5,98304,81920,0
reliability_reports,5,98304,81920,0
usage_meters,5,122880,81920,0
user_active_context,5,90112,81920,0
aircraft_configuration_events,5,40960,40960,0
crs_signoff,5,49152,40960,0
defect_reports,5,49152,40960,0
